gene,log2FC,pval,-log10p,gene_name
YLR119W,-1.9415738969414833,0.4685090961067683,0.32928197286451116,SRN2
YOR175C,1.695780840095301,0.4685731047886085,0.3292226427068499,ALE1
YMR125W,-1.9598167895213712,0.4685804281232635,0.3292158551662428,STO1
YFL013C,-0.6220963193841161,0.4686262601103084,0.32917337877478287,IES1
YPL119C,-2.0184769764511614,0.4687022959699201,0.3291029190536651,DBP1
YPL273W,-1.2756338968586634,0.46876457716871933,0.3290452138018218,SAM4
YGL025C,-1.9694453456716956,0.4687935438675035,0.3290183779669809,PGD1
YNL214W,-1.8688128263370178,0.46881062839423415,0.32900255099883086,PEX17
YPL141C,-1.5108965728943369,0.46889801336166737,0.32892160728651454,FRK1
YLR246W,0.970477116593251,0.4690480173551098,0.3287826954407634,ERF2
YNL302C,0.5030932338181611,0.4691229326645304,0.3287133364277607,RPS19B
YPL204W,1.4649019932751033,0.4691432453891162,0.3286945321600427,HRR25
YKL191W,-1.9877356276276512,0.4691708494994229,0.32866897928206124,DPH2
YAL051W,-2.033852928724491,0.46976387284550136,0.32812038565790747,OAF1
YDR160W,-0.5519342272507967,0.4698808510036474,0.3280122533658633,SSY1
YFL010C,-0.5170503408757734,0.47059957952111076,0.32734846520025024,WWM1
YIL030C,1.1244883674174646,0.47060644950280983,0.3273421252596831,SSM4
YNL292W,-1.4306524470951374,0.4707323246230265,0.32722597818926075,PUS4
YPL254W,-1.787420353451849,0.47076966831727984,0.3271915265142176,HFI1
YNL071W,0.5236877410480383,0.4708056286248723,0.32715835367458757,LAT1
YFL014W,-1.0199653485828386,0.47124765762414234,0.32675079547779584,HSP12
YBR070C,0.9573822191188798,0.4714365532165571,0.32657674713032986,ALG14
YLR454W,-0.811764396105966,0.47149608254399566,0.3265219112757378,FMP27
YPL122C,-1.8328430078612767,0.47162741421567955,0.32640095867329266,TFB2
YHR174W,-0.33673307103880923,0.4721648387627949,0.3259063571553382,ENO2
YHR089C,0.8620495869745959,0.4723168458927429,0.32576656437928153,GAR1
YDR029W,0.7938001236039964,0.47236086839909674,0.32572608765094635,YDR029W
YGL103W,0.8192243119670776,0.4725891663484896,0.3255162383722875,RPL28
YLR360W,-1.2702596236538763,0.4729962356916372,0.3251423155515234,VPS38
YJR041C,0.8784478408565797,0.4733922507645736,0.32477885556986386,URB2
YDR408C,0.9747357548015307,0.47388607737548427,0.32432605054901065,ADE8
YDL195W,-0.5926124452997634,0.47397302910889116,0.3242463706517387,SEC31
YNL173C,-1.8605223303959335,0.47408581082946377,0.32414304272087213,MDG1
YLR185W,0.3941169301056138,0.47409232569768056,0.32413707470450914,RPL37A
YOL009C,-1.847813629086558,0.47410660423343176,0.3241239949823303,MDM12
YER180C-A,-1.4543547808858865,0.47413201256766546,0.324100720884104,SLO1
YGR079W,-1.872979837886187,0.47459531738902583,0.32367655107893983,YGR079W
YPR032W,-1.9766804957314428,0.4749038843801714,0.3233942781796684,SRO7
YGR187C,-1.650708041481767,0.4751903276930328,0.3231324078254611,HGH1
YML053C,-1.2583831996393509,0.4755574704202691,0.322796991706167,YML053C
YER010C,0.8678325366783896,0.47556970078875893,0.32278582268122924,YER010C
YML070W,-0.9584020189348109,0.47566511830008196,0.3226986953012134,DAK1
YOR258W,1.4374787051590912,0.4757476754943115,0.3226233250009207,HNT3
YKL041W,-1.2313949517887026,0.47586545924340207,0.32251581737900625,VPS24
YKR051W,1.6538216873175164,0.4758705874507344,0.3225111371903043,YKR051W
YOR130C,-1.5344411277683132,0.4759446387513313,0.32244356089943066,ORT1
YAL017W,-1.870075072268156,0.4764958793405055,0.321940850718033,PSK1
YDR145W,-1.7843340713926727,0.4765536670710069,0.32188818421689736,TAF12
YGR146C,-1.2234534974283313,0.47656402918838436,0.32187874108009334,ECL1
YDR482C,1.1191573391852747,0.47657850680131786,0.3218655477807258,CWC21
YKL020C,-1.9605999977565223,0.4768738488880847,0.3215964930305987,SPT23
YCR102C,0.8711291902060957,0.47730430046240124,0.3212046526677457,YCR102C
YMR119W,-1.7436636294275494,0.4774588549014759,0.321064047869052,ASI1
YPL091W,0.40485788360111674,0.47759514103205014,0.320940100290963,GLR1
YLR190W,1.8425856086865442,0.4781899180726151,0.320399584580736,MMR1
YGR088W,-1.0022731294159086,0.47843175793800186,0.32017999992378526,CTT1
YJR127C,-1.0074309277539746,0.4785778945664173,0.32004736524940763,RSF2
YGR183C,0.7785209457234686,0.47887679338242317,0.319776208583114,QCR9
YER042W,-1.5445933446073987,0.4790346318581976,0.31963308808600954,MXR1
YIL021W,0.7935046206952253,0.4796321002550855,0.31909175864840017,RPB3
YDR468C,0.6857390520957585,0.47964165925570446,0.3190831033064182,TLG1
YGR012W,-1.810090136689448,0.4797876787850751,0.3189509091492645,MCY1
YJL058C,-1.85062212963396,0.4799670301846284,0.3187885940841206,BIT61
YJL198W,-1.2096706217721154,0.4799948946860433,0.3187633818358108,PHO90
YMR162C,1.2601153182698621,0.4800024696277403,0.31875652815995276,DNF3
YBR005W,1.1701741769204468,0.480027934614912,0.31873348867419454,RCR1
YFL034W,1.1808893262659739,0.48036223280817514,0.3184311451654149,MIL1
YAL041W,-0.8867505247963042,0.4805081679887251,0.3182992255141005,CDC24
YCR093W,-0.8585366988350704,0.4806606608214319,0.3181614208031175,CDC39
YJR105W,-0.6775517728827403,0.4807747624809908,0.3180583380163717,ADO1
YPL020C,-1.8170935135763957,0.4808794474497531,0.31796378406136006,ULP1
YNL014W,1.7332148048689942,0.48135681629564353,0.31753287393996404,HEF3
YOR350C,1.1350397405946973,0.48137327648789685,0.3175180233173005,MNE1
