gene,class,gene_name
YER131W,background,RPS26B
YER132C,background,PMD1
YER133W,background,GLC7
YER134C,background,YER134C
YER136W,background,GDI1
YER137C,background,YER137C
YER139C,background,RTR1
YER140W,background,EMP65
YER141W,background,COX15
YER142C,background,MAG1
YER143W,background,DDI1
YER144C,background,UBP5
YER145C,background,FTR1
YER146W,background,LSM5
YER147C,background,SCC4
YER148W,background,SPT15
YER149C,background,PEA2
YER150W,background,SPI1
YER151C,background,UBP3
YER152C,background,YER152C
YER153C,background,PET122
YER154W,background,OXA1
YER155C,background,BEM2
YER156C,background,YER156C
YER157W,background,COG3
YER158C,background,YER158C
YER159C,background,BUR6
YER161C,background,SPT2
YER162C,background,RAD4
YER163C,background,GCG1
YER164W,background,CHD1
YER165W,background,PAB1
YER166W,background,DNF1
YER167W,background,BCK2
YER168C,background,CCA1
YER169W,background,RPH1
YER170W,background,ADK2
YER171W,background,RAD3
YER172C,background,BRR2
YER173W,background,RAD24
YER174C,background,GRX4
YER175C,background,TMT1
YER176W,background,ECM32
YER177W,background,BMH1
YER178W,background,PDA1
YER179W,background,DMC1
YER180C,background,ISC10
YER181C,background,YER181C
YER182W,background,FMP10
YER183C,background,FAU1
YER184C,background,TOG1
YER185W,background,PUG1
YER186C,background,YER186C
YER187W,background,YER187W
YER188W,background,YER188W
YER190W,background,YRF1-2
YHL001W,entropy_specific,RPL14B
YHL002W,background,HSE1
YHL003C,background,LAG1
YHL004W,background,MRP4
YHL006C,background,SHU1
YHL007C,background,STE20
YHL008C,background,YHL008C
YHL009C,background,YAP3
YHL010C,background,ETP1
YHL011C,background,PRS3
YHL012W,background,YHL012W
YHL013C,background,OTU2
YHL014C,background,YLF2
YHL015W,background,RPS20
YHL016C,background,DUR3
YHL017W,background,YHL017W
YHL018W,background,YHL018W
YHL019C,background,APM2
YHL020C,background,OPI1
YHL021C,background,AIM17
YHL022C,background,SPO11
YHL023C,background,NPR3
YHL024W,background,RIM4
YHL025W,background,SNF6
YHL026C,background,YHL026C
YHL027W,background,RIM101
YHL028W,background,WSC4
YHL029C,background,OCA5
YHL030W,background,ECM29
YHL031C,background,GOS1
YHL032C,background,GUT1
YHL033C,entropy_specific,RPL8A
YHL034C,background,SBP1
YHL035C,background,VMR1
YHL036W,background,MUP3
YHL037C,background,YHL037C
YHL038C,background,CBP2
YHL039W,background,EFM1
YHL040C,background,ARN1
YHL041W,background,YHL041W
YHL042W,background,YHL042W
YHL043W,background,ECM34
YHL044W,background,YHL044W
YHL047C,background,ARN2
YHL048W,background,COS8
YHL049C,background,YHL049C
YHL050C,background,YHL050C
YHR001W,background,OSH7
YHR002W,background,LEU5
YHR003C,background,TCD1
YHR004C,background,NEM1
YHR005C,background,GPA1
YHR006W,background,STP2
YHR007C,background,ERG11
YHR008C,background,SOD2
YHR009C,background,TDA3
YHR010W,background,RPL27A
YHR011W,background,DIA4
YHR012W,background,VPS29
YHR013C,background,ARD1
YHR014W,background,SPO13
YHR015W,background,MIP6
YHR016C,background,YSC84
YHR017W,background,YSC83
YHR018C,background,ARG4
YHR019C,background,DED81
YHR020W,background,YHR020W
YHR021C,background,RPS27B
YHR022C,background,YHR022C
YHR023W,background,MYO1
YHR024C,background,MAS2
YHR025W,background,THR1
YHR026W,background,VMA16
YHR027C,background,RPN1
YHR028C,background,DAP2
YHR029C,background,YHI9
YHR030C,background,SLT2
YHR031C,background,RRM3
YHR032W,background,ERC1
YHR033W,background,YHR033W
YHR034C,background,PIH1
YHR035W,background,NEL1
YHR036W,background,BRL1
YHR037W,background,PUT2
YHR038W,background,RRF1
YHR039C,background,MSC7
YHR040W,background,BCD1
YHR041C,background,SRB2
YHR042W,background,NCP1
